[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
X [ m ],Pressure [ Pa ]
1.95674866e-01, 7.42757988e+00
1.91668376e-01, 1.33843935e+00
1.87349975e-01, -4.25950098e+00
1.83313593e-01, -1.07236996e+01
1.78832635e-01, -1.69796696e+01
1.74965709e-01, -2.27857513e+01
1.71092004e-01, -2.76279869e+01
1.67858750e-01, -3.25305824e+01
1.66632742e-01, -3.41327209e+01
1.63771510e-01, -3.79217110e+01
1.61883086e-01, -4.06797028e+01
1.59896478e-01, -4.35843239e+01
1.57446355e-01, -4.70308495e+01
1.55854851e-01, -4.91596985e+01
1.53348416e-01, -5.24366837e+01
1.51551813e-01, -5.46988678e+01
1.49335787e-01, -5.75522728e+01
1.46733895e-01, -6.07907181e+01
1.46060497e-01, -6.16249733e+01
1.42551422e-01, -6.61363831e+01
1.38699889e-01, -7.09968491e+01
1.34722188e-01, -7.62294235e+01
1.30395785e-01, -8.19163055e+01
1.26344413e-01, -8.79033890e+01
1.26122802e-01, -8.82207947e+01
1.21870905e-01, -9.44857178e+01
1.17637798e-01, -1.00452103e+02
1.13483213e-01, -1.06975822e+02
1.09314501e-01, -1.14563431e+02
1.05121605e-01, -1.22566002e+02
1.00634612e-01, -1.32243881e+02
9.63026360e-02, -1.43553024e+02
9.22179148e-02, -1.55696487e+02
8.80858526e-02, -1.67224625e+02
8.56115595e-02, -1.76689026e+02
8.30322132e-02, -1.85693756e+02
8.18412751e-02, -1.90210373e+02
7.84309581e-02, -2.03923859e+02
7.43899196e-02, -2.21297287e+02
7.20217600e-02, -2.31909988e+02
6.76047280e-02, -2.52803833e+02
6.49157912e-02, -2.65382538e+02
6.05084486e-02, -2.87682281e+02
5.77048995e-02, -3.01899658e+02
5.35780489e-02, -3.24072693e+02
4.96500172e-02, -3.47477936e+02
4.69712429e-02, -3.66349884e+02
4.28007767e-02, -3.91731995e+02
4.18709517e-02, -3.99201630e+02
4.03077081e-02, -4.12792908e+02
3.69629860e-02, -4.37949585e+02
3.62278596e-02, -4.43512634e+02
3.23703215e-02, -4.74489441e+02
2.82258801e-02, -5.08101501e+02
2.41453610e-02, -5.41329224e+02
2.01254338e-02, -5.68211670e+02
1.61641780e-02, -5.75087158e+02
1.29146893e-02, -5.63964722e+02
1.07119028e-02, -5.45242432e+02
7.10489741e-03, -4.99725342e+02
5.59609896e-03, -4.65094269e+02
3.28504061e-03, -3.61962097e+02
2.15336750e-03, -2.26781708e+02
1.07070804e-03, 6.13930016e+01
5.64319198e-04, 3.43974030e+02
1.82993987e-04, 6.43979614e+02
9.97168318e-05, 8.25769592e+02
3.09560681e-04, 9.60487549e+02
6.19499828e-04, 9.42683105e+02
6.51295471e-04, 9.40283142e+02
1.73285254e-03, 7.78220337e+02
3.43031320e-03, 5.46261475e+02
4.11560806e-03, 4.71342804e+02
4.84012160e-03, 3.96446533e+02
7.75626395e-03, 1.85752686e+02
1.00597087e-02, 5.54662628e+01
1.33663500e-02, -9.45638885e+01
1.58242136e-02, -1.86956467e+02
1.95942838e-02, -2.99115021e+02
2.19276510e-02, -3.52982666e+02
2.60059237e-02, -4.22597137e+02
2.83175446e-02, -4.51217773e+02
