[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
X [ m ],Pressure [ Pa ]
2.86398828e-01, 1.07643333e+02
2.87608504e-01, 1.09650864e+02
2.88666159e-01, 1.12036667e+02
2.88949043e-01, 1.12777168e+02
2.90570766e-01, 1.17598854e+02
2.91996151e-01, 1.22884415e+02
2.92979687e-01, 1.26403549e+02
2.93157220e-01, 1.26980408e+02
2.93572664e-01, 1.28266418e+02
2.94245362e-01, 1.30888245e+02
2.94701129e-01, 1.31540359e+02
2.95253754e-01, 1.30413361e+02
2.95477122e-01, 1.28107986e+02
2.95477122e-01, 1.29644165e+02
2.95477122e-01, 1.35022842e+02
2.95477122e-01, 1.35161270e+02
2.95477122e-01, 1.34349167e+02
2.95477122e-01, 1.33665146e+02
2.95477122e-01, 1.33120071e+02
2.95289576e-01, 1.32199127e+02
2.94782877e-01, 1.29986847e+02
2.94505835e-01, 1.28334641e+02
2.93998301e-01, 1.25854530e+02
2.93948621e-01, 1.25430779e+02
2.93725908e-01, 1.23389153e+02
2.92902440e-01, 1.16623215e+02
2.91823685e-01, 1.06608475e+02
2.91610599e-01, 1.03931076e+02
2.91330487e-01, 1.00419884e+02
2.89928854e-01, 9.18389130e+01
2.88287908e-01, 8.51635742e+01
2.87557244e-01, 8.28449249e+01
2.86831319e-01, 8.02244644e+01
2.85766542e-01, 7.61404877e+01
2.83103049e-01, 6.37178726e+01
2.82412499e-01, 6.06852798e+01
2.80522197e-01, 5.17549591e+01
2.78675586e-01, 4.24841156e+01
2.77351379e-01, 3.56657333e+01
2.74366677e-01, 1.91263123e+01
2.74062127e-01, 1.74238701e+01
2.70139664e-01, -4.25920391e+00
2.66269684e-01, -2.57341938e+01
2.62298882e-01, -4.70596733e+01
2.58485824e-01, -6.74807358e+01
2.58320838e-01, -6.83503189e+01
2.55250484e-01, -8.45408325e+01
2.53782868e-01, -9.20146255e+01
2.51794308e-01, -1.02025452e+02
2.49564946e-01, -1.12877357e+02
2.48072892e-01, -1.20105881e+02
2.45365396e-01, -1.32692932e+02
2.44059727e-01, -1.38600266e+02
2.40767121e-01, -1.54676956e+02
2.36452490e-01, -1.73729111e+02
2.32550845e-01, -1.90897903e+02
2.29183927e-01, -2.05461792e+02
2.28038162e-01, -2.10459198e+02
2.26161197e-01, -2.18711090e+02
2.23223880e-01, -2.31173630e+02
2.22960562e-01, -2.32278702e+02
2.19310418e-01, -2.47267654e+02
2.15530008e-01, -2.62508026e+02
2.11682856e-01, -2.77421997e+02
2.07799584e-01, -2.92207550e+02
2.03907236e-01, -3.06692871e+02
2.00017661e-01, -3.20650024e+02
1.96132913e-01, -3.34838959e+02
1.92353532e-01, -3.48072357e+02
1.92125946e-01, -3.48860077e+02
1.88724488e-01, -3.60727539e+02
1.87876567e-01, -3.63519348e+02
1.84873104e-01, -3.73464600e+02
1.83752045e-01, -3.77367035e+02
1.81555241e-01, -3.84876587e+02
1.78713277e-01, -3.94418396e+02
1.78269789e-01, -3.95884888e+02
1.74751744e-01, -4.07781525e+02
1.70715094e-01, -4.19359131e+02
1.68921471e-01, -4.26170044e+02
1.64598256e-01, -4.40565552e+02
1.61384761e-01, -4.49956207e+02
1.56822860e-01, -4.65548187e+02
1.52454644e-01, -4.81686615e+02
1.50846303e-01, -4.86516602e+02
1.48903638e-01, -4.92649475e+02
1.46585926e-01, -5.00444580e+02
1.45257950e-01, -5.04617981e+02
1.42074883e-01, -5.16110168e+02
1.41811401e-01, -5.16987244e+02
1.38040707e-01, -5.29584839e+02
1.33804083e-01, -5.42900208e+02
1.29460573e-01, -5.57333801e+02
1.24876842e-01, -5.72757385e+02
1.20634481e-01, -5.88413330e+02
1.17106035e-01, -5.98991455e+02
1.13291644e-01, -6.11142761e+02
1.10197335e-01, -6.19968750e+02
1.07983425e-01, -6.24828125e+02
1.06213436e-01, -6.28897949e+02
1.04096897e-01, -6.33955322e+02
1.03270799e-01, -6.35783447e+02
9.89294648e-02, -6.45330811e+02
9.55817699e-02, -6.51923462e+02
9.21308398e-02, -6.57401367e+02
8.84424597e-02, -6.61471558e+02
8.57863352e-02, -6.63168823e+02
8.18487331e-02, -6.64533691e+02
7.89393336e-02, -6.64460144e+02
7.66020492e-02, -6.63274658e+02
7.59492815e-02, -6.62913086e+02
7.33811557e-02, -6.61076477e+02
7.03869835e-02, -6.57859985e+02
7.02362508e-02, -6.57620789e+02
6.69488162e-02, -6.51722473e+02
6.50429353e-02, -6.47987427e+02
6.38599843e-02, -6.45503113e+02
6.00956008e-02, -6.36572021e+02
5.59209436e-02, -6.25052429e+02
5.22748157e-02, -6.12591248e+02
4.97690514e-02, -6.01279175e+02
4.54012007e-02, -5.77303711e+02
4.26813774e-02, -5.59871277e+02
3.99002507e-02, -5.41701782e+02
3.67300361e-02, -5.23913696e+02
3.32958028e-02, -4.93133911e+02
