# 										
# 09/12/2026 17:42:31										
# The parameters defined in the project are:										
# 	P1 - P3@DS_Left_Flap	P2 - P3@DS_Right_Flap	P3 - Inlet_X [m s^-1]	P4 - Inlet_Z [m s^-1]	P5 - drag-op [N]	P6 - downforce-op [N]	P7 - side_force-op [N]	P8 - yaw_moment_cg-op [J]	P9 - pitch_moment_cg-op [J]	
# 										
# The following header line defines the name of the columns by reference to the parameters.										
Name	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10
DP 0	0.01	0.01	40	0	19.250992	109.41794	-0.024835232	0.041335254	-191.88783	-0.02879
DP 1	5	0.01	40	0	19.234614	108.93194	2.7302383	-4.5490016	-191.19769	1.5316
DP 2	10	0.01	40	0	19.221603	108.34235	5.4183497	-9.0405668	-190.32467	2.977
DP 3	0.01	0.01	39.96	1.74	19.25738	109.2679	2.3022088	-2.8770371	-191.63868	
DP 4	10	0.01	39.96	1.74	19.200805	108.51447	7.9474966	-12.298377	-190.57404	
DP 5	0.01	10	39.96	1.74	19.22018	107.82438	-2.8453482	5.7409064	-189.49742	
DP 6	0.01	0.01	39.85	3.49	19.249998	109.07288	4.6441147	-5.808228	-191.31386	
DP 7	10	0.01	39.85	3.49	19.160232	108.60958	10.466823	-15.509596	-190.70363	
DP 8	0.01	10	39.85	3.49	19.24396	107.26923	-0.28346014	2.4469207	-188.61017	
DP 9	15	0.01	40	0	19.187365	107.69803	8.0564254	-13.46637	-189.35599	4.32
DP 10	15	0.01	39.96	1.74	19.171155	108.12907	10.759943	-16.979688	-190.00736	
DP 11	0.01	15	39.96	1.74	19.196192	106.97421	-5.3338009	9.902656	-188.19279	
DP 12	15	0.01	39.85	3.49	19.145904	108.33655	13.377194	-20.378123	-190.30951	9.2966
DP 13	0.01	15	39.85	3.49	19.227655	106.17551	-2.6282914	6.388826	-186.92643	
